global_step,episode,episode_length,mean_reward,queue_total_proxy,co2_total_mg,fuel_total_ml,throughput,avg_waiting_proxy
1080,1,1080,-45.71887365457513,31288.0,169451599.51284844,54819228.211463705,545.0,109.2200380648758
2160,2,1080,-117.74886593832923,105294.0,330923722.64876133,107065824.42420408,555.0,423.20895422647305
3240,3,1080,-53.74947358456315,38328.0,186525061.9280643,60339383.578929886,548.0,145.79144418614786
4320,4,1080,-50.21787365345115,33204.0,180113463.56840408,58255474.86850504,560.0,123.73202178079154
5400,5,1080,-49.73132121843929,32762.0,175686139.7978267,56837709.122156166,571.0,115.69921856826278
6480,6,1080,-52.996560617451664,38102.0,192184996.906548,62158209.62680404,590.0,140.3319639567709
7560,7,1080,-59.84057815152023,42824.0,198379186.79459712,64162411.83506229,574.0,174.9191181517348
8640,8,1080,-47.16379513252601,32424.0,171400799.32261112,55445587.78686658,562.0,126.54550058738697
9720,9,1080,-46.31378970259059,29074.0,167001500.7656977,54016211.23599301,569.0,114.39001375029407
10800,10,1080,-47.46782817519326,29096.0,169708882.58155826,54884833.2390455,532.0,115.99670130991167
11880,11,1080,-49.53962230508111,34804.0,179902077.96200144,58197694.36460903,551.0,127.39667871532436
12960,12,1080,-44.643703262461614,27686.0,168723873.6900261,54563863.82058206,567.0,107.28220677469471
14040,13,1080,-44.72853195011746,27768.0,165721712.4266272,53596001.635888584,572.0,107.21701901256496
15120,14,1080,-46.44111530304735,30576.0,172979598.36834124,55947305.79700363,576.0,112.93988197280414
16200,15,1080,-41.38680922624401,25600.0,155991133.81136662,50461103.816410616,586.0,96.08511813667504
17280,16,1080,-44.78221420167168,28712.0,169024675.96551526,54667953.853238195,580.0,106.26357373943904
18360,17,1080,-46.11125529183255,28804.0,168305113.43429852,54438981.53630226,560.0,103.75058829171098
19440,18,1080,-41.08413350152145,23430.0,157166859.97917822,50830208.90014322,575.0,88.01282256162341
20520,19,1080,-59.161034969568846,42414.0,199384235.95174888,64501551.6832066,576.0,157.5926314975203
21600,20,1080,-43.39825098746148,25668.0,161222433.33885407,52152387.44469862,560.0,95.278639207017
22680,21,1080,-45.407343311704096,27288.0,163787843.78993365,52976938.46981927,536.0,104.19655533133404
23760,22,1080,-51.41223005352683,36468.0,175700986.71928602,56853588.53801398,560.0,136.6793141914123
24840,23,1080,-47.93540642735913,30764.0,176525586.25830856,57091260.950196125,557.0,116.85230227156411
25920,24,1080,-41.9291388834572,24668.0,158750180.01224357,51347402.3211243,560.0,92.56417591354739
